id,name,gender,age,city,state,job,income,score,loans
100001,Aryan Maharaj,Female,52,Kolkata,West Bengal,Professional,110674,574,1
100002,Udant Dewan,Male,33,New Delhi,Delhi,Business Owner,69317,628,3
100003,Gagan Sami,Male,37,Jodhpur,Rajasthan,Salaried,213207,676,2
100004,Ayushman Chander,Male,22,Madurai,Tamil Nadu,Salaried,51591,662,2
100005,Viraj Tiwari,Male,41,Siliguri,West Bengal,Self Employed,98883,709,0
100006,Rushil Saini,Male,41,Jabalpur,Madhya Pradesh,Professional,19881,576,3
100007,Saumya Mall,Male,26,Surat,Gujarat,Salaried,58049,760,0
100008,Nathaniel Sami,Female,50,Kolkata,West Bengal,Professional,63458,803,2
100009,Arunima Dugal,Male,35,Jodhpur,Rajasthan,Self Employed,32653,704,0
100010,Gayathri Chaudry,Female,35,Madurai,Tamil Nadu,Salaried,147463,659,1
100011,Lajita Chatterjee,Male,29,Delhi,Delhi,Salaried,204105,684,0
100012,Hemangini Lalla,Female,32,Jaipur,Rajasthan,Salaried,109455,804,4
100013,Tripti Yadav,Male,27,Udaipur,Rajasthan,Business Owner,71022,763,3
100014,Kritika Brar,Female,44,Vadodara,Gujarat,Salaried,84436,755,0
100015,Janaki Handa,Male,41,Hyderabad,Telangana,Business Owner,189296,674,0
100016,Chakradev Kari,Male,29,Chennai,Tamil Nadu,Salaried,216290,682,0
100017,Fariq Kaul,Male,52,Hubballi,Karnataka,Self Employed,31374,625,0
100018,Lajita Mall,Male,22,Udaipur,Rajasthan,Self Employed,179600,608,2
100019,Janya Gaba,Male,27,Warangal,Telangana,Self Employed,134751,702,1
100020,Isha Kadakia,Male,22,Mangaluru,Karnataka,Self Employed,40461,627,2
100021,Ekbal Garg,Male,32,Coimbatore,Tamil Nadu,Self Employed,217760,565,3
100022,Nihal Shere,Female,35,Nagpur,Maharashtra,Salaried,144588,746,2
100023,Anamika Kanda,Male,55,Jabalpur,Madhya Pradesh,Professional,78539,652,2
100024,Daksh Karnik,Female,26,Warangal,Telangana,Salaried,136948,726,0
100025,Diya Rattan,Male,27,Agra,Uttar Pradesh,Professional,64536,697,1
100026,Dominic Kakar,Female,31,Navi Mumbai,Maharashtra,Business Owner,164755,587,3
100027,Simon Tata,Female,23,Indore,Madhya Pradesh,Self Employed,219749,618,0
100028,Tara Dhar,Male,54,Ahmedabad,Gujarat,Salaried,108870,713,0
100029,Liam Koshy,Female,51,Siliguri,West Bengal,Salaried,158239,522,1
100030,Priya Rastogi,Female,41,New Delhi,Delhi,Business Owner,112513,641,1
100031,Theodore Devi,Male,49,Lucknow,Uttar Pradesh,Salaried,143544,646,1
100032,Gavin Batta,Male,39,Vadodara,Gujarat,Salaried,137190,743,0
100033,Michael Dutta,Female,27,Madurai,Tamil Nadu,Salaried,213253,684,4
100034,Devansh Rajan,Male,31,Vadodara,Gujarat,Salaried,36920,850,1
100035,Upadhriti Wadhwa,Male,23,Siliguri,West Bengal,Professional,35668,730,1
100036,Advay Contractor,Female,59,Chennai,Tamil Nadu,Salaried,145443,655,0
100037,Harini Choudhury,Female,53,Agra,Uttar Pradesh,Salaried,83077,680,1
100038,Radhika Dugar,Female,48,Kolkata,West Bengal,Salaried,66749,544,4
100039,Aarush Lall,Male,59,Hubballi,Karnataka,Business Owner,202842,673,2
100040,Yashica Cherian,Female,52,New Delhi,Delhi,Salaried,96319,610,2
100041,Yashica Issac,Male,24,Noida,Uttar Pradesh,Salaried,123012,627,1
100042,Kashvi Edwin,Male,55,Bengaluru,Karnataka,Salaried,119374,659,0
100043,Ekiya Suresh,Female,37,Bhopal,Madhya Pradesh,Salaried,202653,810,1
100044,Isaac Patil,Male,55,Kanpur,Uttar Pradesh,Self Employed,90512,778,2
100045,Wriddhish Bhardwaj,Female,57,Jabalpur,Madhya Pradesh,Self Employed,27960,633,3
100046,Farhan Chada,Female,46,Chennai,Tamil Nadu,Salaried,207851,541,0
100047,Ekapad Walia,Male,37,Mysuru,Karnataka,Self Employed,115552,664,1
100048,Kabir Soman,Male,54,Delhi,Delhi,Salaried,201985,580,3
100049,Alka Wable,Male,28,Kolkata,West Bengal,Self Employed,37103,655,2
100050,Siddharth Zacharia,Male,29,Udaipur,Rajasthan,Business Owner,173486,645,0
100051,Devika Rastogi,Male,27,Ahmedabad,Gujarat,Professional,26333,760,0
100052,Raksha Varughese,Female,21,Pune,Maharashtra,Business Owner,115352,750,3
100053,Jai Kota,Male,60,New Delhi,Delhi,Self Employed,27952,669,0
100054,Devansh Nigam,Female,36,Bengaluru,Karnataka,Salaried,42273,701,0
100055,Victor Kannan,Male,22,Udaipur,Rajasthan,Salaried,66943,716,1
100056,Ekavir Bhargava,Male,28,New Delhi,Delhi,Salaried,98532,626,0
100057,Ekansh Balay,Male,42,Hubballi,Karnataka,Business Owner,137521,515,4
100058,Ekavir Varkey,Male,47,Hyderabad,Telangana,Salaried,57981,761,2
100059,Arya Sunder,Male,38,Warangal,Telangana,Salaried,214574,742,3
100060,Kevin Solanki,Female,36,Indore,Madhya Pradesh,Salaried,140318,712,0
100061,Urvashi Ray,Male,46,Delhi,Delhi,Salaried,172908,748,1
100062,Girindra Chatterjee,Male,42,Warangal,Telangana,Salaried,96844,632,3
100063,Irya Sampath,Female,21,Mysuru,Karnataka,Business Owner,60969,642,0
100064,Unni Bhagat,Male,52,Bhopal,Madhya Pradesh,Salaried,89610,596,0
100065,Darsh Rau,Female,42,Bengaluru,Karnataka,Self Employed,46952,723,2
100066,Ikbal Kothari,Female,47,Indore,Madhya Pradesh,Salaried,204326,706,2
100067,Ranveer Yadav,Male,58,Delhi,Delhi,Salaried,193271,686,3
100068,Logan Sami,Female,53,Jaipur,Rajasthan,Self Employed,75347,694,1
100069,Arya Shere,Male,50,Siliguri,West Bengal,Business Owner,40578,600,0
100070,Faqid Savant,Female,39,Lucknow,Uttar Pradesh,Self Employed,177671,631,0
100071,Chandresh Zachariah,Male,53,Jodhpur,Rajasthan,Salaried,115308,621,1
100072,Girik Khalsa,Male,45,Coimbatore,Tamil Nadu,Salaried,50206,758,1
100073,Niharika Sunder,Female,26,Hubballi,Karnataka,Professional,190913,595,3
100074,Tanay Rattan,Female,49,Madurai,Tamil Nadu,Self Employed,132885,692,4
100075,Nitesh Raghavan,Female,35,Jaipur,Rajasthan,Business Owner,58450,759,3
100076,Madhavi Lanka,Male,32,Bhopal,Madhya Pradesh,Salaried,168487,659,2
100077,Bhavika Sampath,Female,58,Agra,Uttar Pradesh,Salaried,28800,776,2
100078,Mohammed Gupta,Female,35,Kanpur,Uttar Pradesh,Professional,201394,655,0
100079,Teerth Bhardwaj,Female,51,Nashik,Maharashtra,Salaried,215198,790,1
100080,Dipta Bhandari,Female,21,Lucknow,Uttar Pradesh,Business Owner,34645,703,0
100081,Vansha Thakkar,Female,40,Kolkata,West Bengal,Salaried,18236,719,2
100082,Dakshesh Trivedi,Female,49,Lucknow,Uttar Pradesh,Salaried,60740,655,3
100083,Quincy Biswas,Male,31,Udaipur,Rajasthan,Salaried,162097,655,0
100084,Wahab Raval,Male,29,Mumbai,Maharashtra,Salaried,184957,666,1
100085,Yatin Baral,Male,36,Udaipur,Rajasthan,Self Employed,88409,714,2
100086,Oni Virk,Male,36,Jaipur,Rajasthan,Business Owner,33263,655,2
100087,Advika Jayaraman,Female,53,Vadodara,Gujarat,Salaried,119862,664,1
100088,William Lanka,Female,39,Nashik,Maharashtra,Self Employed,151053,599,0
100089,Karan Mital,Female,45,Jaipur,Rajasthan,Salaried,105069,701,0
100090,Diya Bora,Male,54,Rajkot,Gujarat,Salaried,101658,695,1
100091,Tara Chaudhry,Female,59,Vadodara,Gujarat,Salaried,97534,791,0
100092,Tanay Toor,Female,44,Pune,Maharashtra,Salaried,167326,789,1
100093,Kevin Palla,Male,52,Madurai,Tamil Nadu,Business Owner,109218,745,3
100094,Yash Pingle,Female,59,Jabalpur,Madhya Pradesh,Salaried,213698,599,0
100095,Nakul Sarma,Female,23,Siliguri,West Bengal,Salaried,22604,650,1
100096,Abhiram Mistry,Female,33,Indore,Madhya Pradesh,Business Owner,72705,656,2
100097,Krish Lalla,Male,50,Kanpur,Uttar Pradesh,Professional,22340,768,4
100098,Hredhaan Dugal,Male,43,Siliguri,West Bengal,Self Employed,29007,777,1
100099,Baghyawati Kade,Female,50,Kanpur,Uttar Pradesh,Salaried,103849,703,2
100100,Samar Lalla,Male,32,Udaipur,Rajasthan,Business Owner,80609,582,2
100101,Zayan Behl,Male,58,Mysuru,Karnataka,Salaried,140484,782,0
100102,Pallavi Malhotra,Male,44,Mumbai,Maharashtra,Salaried,59686,581,1
100103,Aarush Nath,Male,44,Siliguri,West Bengal,Salaried,187566,660,1
100104,Adweta Edwin,Male,50,Kolkata,West Bengal,Business Owner,129123,750,0
100105,Prisha Andra,Female,37,Udaipur,Rajasthan,Salaried,194850,780,1
100106,Faqid Dixit,Female,35,Coimbatore,Tamil Nadu,Self Employed,201221,702,2
100107,Kala Divan,Male,56,Rajkot,Gujarat,Salaried,219176,667,1
100108,Joshua Barman,Female,44,Udaipur,Rajasthan,Self Employed,144827,614,0
100109,Janya Baral,Female,52,Hyderabad,Telangana,Salaried,18032,640,3
100110,Shivansh Krish,Female,44,Rajkot,Gujarat,Salaried,135148,647,1
100111,Irya Ray,Male,23,Aurangabad,Maharashtra,Business Owner,140363,603,2
100112,Warjas Gaba,Female,21,Surat,Gujarat,Business Owner,107850,702,2
100113,Nitara Bakshi,Male,40,Coimbatore,Tamil Nadu,Professional,192653,610,2
100114,Gaurangi Sabharwal,Male,41,Rajkot,Gujarat,Salaried,182465,622,1
100115,Amara Dutta,Female,32,Pune,Maharashtra,Salaried,47996,569,0
100116,Lavanya Barad,Female,56,Madurai,Tamil Nadu,Business Owner,147101,743,1
100117,Tristan Iyengar,Male,41,Bhopal,Madhya Pradesh,Professional,65836,679,0
100118,Inaya Mody,Female,39,Kolkata,West Bengal,Business Owner,176142,701,3
100119,Udant Bajwa,Male,39,Siliguri,West Bengal,Salaried,146167,703,0
100120,Mohini Narasimhan,Male,57,Kanpur,Uttar Pradesh,Self Employed,158696,643,1
100121,Ekaraj Mallick,Male,22,Bhopal,Madhya Pradesh,Salaried,108830,613,2
100122,Yashodhara Ratta,Female,53,Indore,Madhya Pradesh,Salaried,149884,823,2
100123,Ayaan D’Alia,Male,57,Ahmedabad,Gujarat,Salaried,59159,662,0
100124,Pranav Lanka,Male,30,Siliguri,West Bengal,Salaried,114396,644,1
100125,Ikbal Saraf,Male,52,Navi Mumbai,Maharashtra,Salaried,58001,850,3
100126,Dipta Sarin,Male,50,Delhi,Delhi,Self Employed,192609,642,0
100127,Lekha Gupta,Male,37,Delhi,Delhi,Salaried,157710,677,1
100128,Chaitanya Sarin,Female,50,Madurai,Tamil Nadu,Salaried,58141,628,0
100129,Zinal Yohannan,Male,34,Kolkata,West Bengal,Self Employed,179444,776,1
100130,Januja Sankar,Female,25,Siliguri,West Bengal,Salaried,100470,647,0
100131,Ganga Murthy,Male,56,New Delhi,Delhi,Salaried,49221,721,0
100132,Charita Tripathi,Male,33,Kolkata,West Bengal,Salaried,103009,755,0
100133,Nilima Narain,Female,36,Rajkot,Gujarat,Self Employed,204367,726,4
100134,Chakrika Datta,Female,33,Hyderabad,Telangana,Business Owner,89146,610,1
100135,Osha Raghavan,Male,49,Hubballi,Karnataka,Salaried,187804,759,0
100136,Charvi Ravi,Female,44,Jabalpur,Madhya Pradesh,Salaried,142835,719,1
100137,Daksha Mangat,Female,38,Noida,Uttar Pradesh,Salaried,189119,693,3
100138,Qushi Nagy,Male,59,Chennai,Tamil Nadu,Salaried,78198,703,1
100139,Riya Sathe,Male,28,Hyderabad,Telangana,Salaried,37807,578,1
100140,Yasti Solanki,Male,25,New Delhi,Delhi,Salaried,152064,839,0
100141,Frado Mander,Male,34,Jabalpur,Madhya Pradesh,Salaried,191436,799,0
100142,Girik Keer,Female,23,Kolkata,West Bengal,Self Employed,204903,781,2
100143,Umang Issac,Female,26,Agra,Uttar Pradesh,Salaried,183613,676,1
100144,Aryan Batra,Male,37,Siliguri,West Bengal,Business Owner,153153,692,0
100145,Vaishnavi Bora,Female,49,Aurangabad,Maharashtra,Salaried,178848,765,2
100146,Oeshi Hayer,Female,42,Navi Mumbai,Maharashtra,Business Owner,192969,712,2
100147,Warda Ratta,Female,54,Noida,Uttar Pradesh,Self Employed,203048,614,1
100148,Manbir Ahluwalia,Male,26,Lucknow,Uttar Pradesh,Self Employed,86125,601,3
100149,Pavani Kanda,Female,47,Delhi,Delhi,Salaried,94788,591,0
100150,Zarna Shetty,Female,34,Noida,Uttar Pradesh,Salaried,61201,619,1
100151,Zaid Dara,Female,40,Surat,Gujarat,Salaried,194731,635,0
100152,Kiaan Shetty,Male,47,Kolkata,West Bengal,Salaried,218531,688,1
100153,Saanvi Thaman,Male,23,Hyderabad,Telangana,Salaried,169390,790,1
100154,Sanaya Dutt,Male,37,Udaipur,Rajasthan,Business Owner,135929,646,0
100155,Shivani Lad,Male,24,Agra,Uttar Pradesh,Business Owner,122614,743,1
100156,Aradhana Verma,Male,33,Chennai,Tamil Nadu,Professional,76838,686,1
100157,William Maharaj,Male,21,Aurangabad,Maharashtra,Salaried,37172,659,0
100158,Faras Mangal,Female,41,Rajkot,Gujarat,Self Employed,111865,726,1
100159,Anita Nayak,Female,23,Indore,Madhya Pradesh,Salaried,55709,671,1
100160,Faris Devi,Male,45,Udaipur,Rajasthan,Business Owner,164713,705,0
100161,Vihaan Rajagopal,Male,21,Warangal,Telangana,Salaried,86269,524,0
100162,Tanish Bhatt,Female,34,Jaipur,Rajasthan,Salaried,97440,662,3
100163,Nikita Narayanan,Male,54,Noida,Uttar Pradesh,Salaried,120313,725,0
100164,Ojasvi Bhatia,Male,60,Delhi,Delhi,Self Employed,215557,761,1
100165,Osha Ramachandran,Male,23,Mumbai,Maharashtra,Business Owner,189317,782,0
100166,Lajita Sood,Female,29,Thane,Maharashtra,Self Employed,29094,801,1
100167,Indira Misra,Female,25,Jabalpur,Madhya Pradesh,Business Owner,210250,731,0
100168,Oni Yohannan,Male,45,New Delhi,Delhi,Self Employed,103846,735,0
100169,Vinaya Kanda,Male,53,Kolkata,West Bengal,Salaried,119085,651,4
100170,Rajata Sunder,Male,25,Mangaluru,Karnataka,Salaried,50772,720,0
100171,Lopa Nayar,Female,32,Rajkot,Gujarat,Self Employed,71196,776,3
100172,Noah Sibal,Female,59,Nagpur,Maharashtra,Salaried,194201,831,0
100173,Avi Ramesh,Male,31,Chennai,Tamil Nadu,Salaried,130704,621,0
100174,Fiyaz Sangha,Female,53,Nagpur,Maharashtra,Professional,121197,667,2
100175,Triya Gopal,Female,36,Jaipur,Rajasthan,Salaried,67888,719,0
100176,Abha Raghavan,Male,23,Nashik,Maharashtra,Salaried,47236,692,1
100177,Siddharth Sha,Male,25,Pune,Maharashtra,Salaried,203551,579,0
100178,Geetika Raghavan,Male,60,Hubballi,Karnataka,Business Owner,192674,753,3
100179,Oviya Krishnan,Male,39,Mysuru,Karnataka,Salaried,175041,636,1
100180,Upma Bahl,Female,31,Warangal,Telangana,Salaried,126603,658,0
100181,Inaya Kapur,Male,41,Kolkata,West Bengal,Self Employed,108967,577,0
100182,Banjeet Balasubramanian,Male,29,Chennai,Tamil Nadu,Salaried,18783,558,0
100183,Ryan Bahri,Male,38,Nagpur,Maharashtra,Salaried,85203,734,1
100184,William Date,Female,32,Mumbai,Maharashtra,Salaried,25349,590,1
100185,Ishwar Kamdar,Male,59,Rajkot,Gujarat,Salaried,103898,675,0
100186,Aahana Pillay,Female,43,Mysuru,Karnataka,Salaried,125847,735,0
100187,Ishwar Gade,Female,58,Coimbatore,Tamil Nadu,Salaried,178712,736,1
100188,Hritik Bal,Male,60,Bhopal,Madhya Pradesh,Salaried,18513,569,0
100189,Keya Ranganathan,Male,33,Warangal,Telangana,Self Employed,143928,738,4
100190,Faqid Kibe,Male,55,Siliguri,West Bengal,Business Owner,102104,620,2
100191,Charvi Dara,Male,48,New Delhi,Delhi,Self Employed,91924,775,0
100192,Idika Walia,Male,55,Kolkata,West Bengal,Salaried,151519,763,1
100193,Kamala Biswas,Male,43,Jaipur,Rajasthan,Salaried,156336,665,4
100194,Advik Salvi,Female,35,Thane,Maharashtra,Professional,97225,710,1
100195,Hitesh Sant,Male,28,Warangal,Telangana,Professional,21188,636,1
100196,Tripti Dua,Female,35,Udaipur,Rajasthan,Business Owner,26415,732,4
100197,Patrick Vig,Male,21,Madurai,Tamil Nadu,Self Employed,88432,721,0
100198,Veda Shroff,Male,55,New Delhi,Delhi,Salaried,209577,674,1
100199,Amrita Naidu,Male,32,Bengaluru,Karnataka,Business Owner,207871,822,2
100200,Gabriel Mallick,Male,29,Hyderabad,Telangana,Business Owner,47342,558,2
100201,Yagnesh Shetty,Male,59,Hyderabad,Telangana,Salaried,85399,665,0
100202,Gayathri Balakrishnan,Female,53,Nashik,Maharashtra,Salaried,19141,644,1
100203,Ekta Gopal,Male,41,Lucknow,Uttar Pradesh,Salaried,134256,627,0
100204,Simon Pant,Female,51,Hyderabad,Telangana,Salaried,64566,662,0
100205,Harini Mammen,Male,50,Vadodara,Gujarat,Business Owner,215205,554,0
100206,Advaith Varughese,Female,39,Delhi,Delhi,Salaried,98247,568,0
100207,Frederick Khurana,Male,54,New Delhi,Delhi,Professional,30961,682,0
100208,Vrinda Khosla,Female,37,Vadodara,Gujarat,Salaried,37133,679,1
100209,Vritti Sem,Male,54,Jabalpur,Madhya Pradesh,Salaried,161816,680,1
100210,Girik Menon,Male,21,Ahmedabad,Gujarat,Self Employed,146740,539,2
100211,Nidhi Kohli,Male,45,Surat,Gujarat,Business Owner,184018,622,2
100212,Jyoti Solanki,Male,55,Delhi,Delhi,Self Employed,66401,685,0
100213,Pavani Narayanan,Female,30,Kolkata,West Bengal,Self Employed,130552,540,0
100214,Sudiksha Madan,Male,53,Delhi,Delhi,Salaried,73726,622,0
100215,Zayan Kashyap,Male,34,Kanpur,Uttar Pradesh,Salaried,151500,722,1
100216,Reyansh Mutti,Male,26,Nagpur,Maharashtra,Self Employed,145168,692,1
100217,Qasim Handa,Male,40,Jodhpur,Rajasthan,Salaried,126372,734,0
100218,Veda Malhotra,Male,32,Siliguri,West Bengal,Salaried,213214,707,3
100219,Harish Hari,Female,47,Mangaluru,Karnataka,Self Employed,97297,611,0
100220,Utkarsh Patel,Male,31,Udaipur,Rajasthan,Self Employed,83739,674,0
100221,Chasmum Atwal,Male,35,Nashik,Maharashtra,Professional,26518,712,2
100222,Anusha Bath,Female,48,Kanpur,Uttar Pradesh,Salaried,204698,547,2
100223,Brinda Date,Male,58,Lucknow,Uttar Pradesh,Salaried,120721,713,2
100224,Harshil Arora,Male,22,Hubballi,Karnataka,Business Owner,117190,703,3
100225,Upasna Srinivas,Female,34,Siliguri,West Bengal,Salaried,171842,804,0
100226,Harini Gour,Female,25,Bhopal,Madhya Pradesh,Self Employed,120330,524,2
100227,Zayyan Sridhar,Female,57,Ahmedabad,Gujarat,Self Employed,147640,754,0
100228,Dhruv Rattan,Female,30,Siliguri,West Bengal,Self Employed,206970,742,1
100229,Ethan Bera,Female,34,Indore,Madhya Pradesh,Self Employed,94508,492,0
100230,Manthan Modi,Male,38,Kanpur,Uttar Pradesh,Self Employed,51489,630,0
100231,Yuvraj Dani,Male,54,Delhi,Delhi,Salaried,18805,773,3
100232,Upkaar Virk,Female,37,Thane,Maharashtra,Business Owner,25808,675,0
100233,Shravya Savant,Female,48,Hubballi,Karnataka,Professional,153756,706,2
100234,Pushti Mody,Male,58,Navi Mumbai,Maharashtra,Self Employed,128784,614,4
100235,Hardik Johal,Male,51,Chennai,Tamil Nadu,Salaried,56874,765,1
100236,Aishani Bumb,Female,53,Chennai,Tamil Nadu,Professional,70422,713,0
100237,Wriddhish Ghose,Female,56,Siliguri,West Bengal,Salaried,106116,626,0
100238,Naksh Agate,Female,24,Noida,Uttar Pradesh,Professional,217384,749,0
100239,Shravya Singhal,Female,57,Noida,Uttar Pradesh,Self Employed,187354,782,0
100240,Bachittar Kata,Male,43,Surat,Gujarat,Self Employed,27174,709,1
100241,Barkha Setty,Male,41,Surat,Gujarat,Self Employed,33937,834,3
100242,Vivaan Lalla,Male,45,Vadodara,Gujarat,Salaried,115839,646,1
100243,Pavani Contractor,Female,35,New Delhi,Delhi,Self Employed,91577,755,0
100244,Manthan Lata,Female,34,Jaipur,Rajasthan,Salaried,120225,693,0
100245,Ekbal Bhasin,Female,33,Hyderabad,Telangana,Salaried,27405,571,1
100246,Damyanti Mani,Male,53,Jaipur,Rajasthan,Business Owner,130804,698,3
100247,Jeet Sidhu,Female,41,Aurangabad,Maharashtra,Business Owner,116104,718,0
100248,Neha Magar,Female,44,Jodhpur,Rajasthan,Salaried,164137,662,0
100249,Raksha Buch,Female,45,Delhi,Delhi,Salaried,175040,604,0
100250,Rachana Naidu,Female,55,Thane,Maharashtra,Salaried,117333,640,2
100251,Atharv Chand,Male,43,Jodhpur,Rajasthan,Salaried,49087,734,1
100252,Ansh Luthra,Female,24,New Delhi,Delhi,Salaried,108511,655,0
100253,Parth Singhal,Male,41,Hyderabad,Telangana,Business Owner,46234,634,2
100254,Arunima Golla,Male,58,Udaipur,Rajasthan,Business Owner,117813,682,0
100255,Vyanjana Chand,Female,44,Delhi,Delhi,Business Owner,174640,576,0
100256,Ijaya Rege,Male,46,Ahmedabad,Gujarat,Self Employed,206326,688,0
100257,Ekani Cheema,Female,45,Kanpur,Uttar Pradesh,Salaried,133820,665,2
100258,Forum Sabharwal,Male,28,Surat,Gujarat,Salaried,214159,688,2
